Post URL,Image URL,Likes,Comments,Caption,#moon,#photography,#photooftheday,#sky,#pubity,#viral,#polls,#morocco,#gordonramsay,#youdecide,#dog,#pets,#wholesome,#rescue
https://www.instagram.com/p/C-qhXOyIuDM/,https://instagram.fsin15-2.fna.fbcdn.net/v/t51.29350-15/455010550_3963848177180600_4639714287896318460_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=instagram.fsin15-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=yCO6AMajgRcQ7kNvgGD5Hdj&_nc_gid=da9ca03f00c4460097df08ccf9b1aa5d&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQzNDcwNDM4ODY3ODA1NzcwMg%3D%3D.3-ccb7-5&oh=00_AYClrzZD_E-A1_tr7PcQqGy0NRXfMrlx1icE9ArLDDxZ9A&oe=676B51F3&_nc_sid=8f1549,1271345,2684,"Swipe ⬅️ to see the series of him packing the moon into his trunk 🌕

(Via @daniel_antoniol)

-
#moon #photography #photooftheday #sky #pubity",1,1,1,1,1,,,,,,,,,
https://www.instagram.com/p/C_CDSp5y-RY/,https://instagram.fsin15-2.fna.fbcdn.net/v/t51.29350-15/456641088_1160898428320932_2051904053683973840_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzUweDE2ODcuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fsin15-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=4XfG8URWi-oQ7kNvgFmKKs1&_nc_gid=da9ca03f00c4460097df08ccf9b1aa5d&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzQ0MTMyNzU0MTM0NzY3MzE3Ng%3D%3D.3-ccb7-5&oh=00_AYAWhpsQtJWW89yDBeYmJDdMnBMgg8gz3cFGc6WlEp7jJA&oe=676B34A4&_nc_sid=8f1549,1793456,5251,An important reminder from Keanu Reeves to enjoy the moment and stop treating yourself like an afterthought. ❤️,0,0,0,0,0,,,,,,,,,
https://www.instagram.com/p/C9f6E7hI9Hb/,https://instagram.fsin15-1.fna.fbcdn.net/v/t39.30808-6/451483130_18460429603044850_3694542558357207815_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.fsin15-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=uxUa4GFKO6cQ7kNvgGQRN9p&_nc_gid=da9ca03f00c4460097df08ccf9b1aa5d&edm=AEhyXUkAAAAA&ccb=7-5&ig_cache_key=MzQxMzcwMjQ1MzIyOTcwMTI5MQ%3D%3D.3-ccb7-5&oh=00_AYBBbNNu7obGbmxzov8kNgGErEUQjrTXdKVJo_hute6s8A&oe=676B304B&_nc_sid=8f1549,605364,42737,"Swipe ➡️ to see Gordon Ramsay announce the winner 🏆🇲🇦

Our fans voted for Moroccan cuisine as the ‘best cuisine in the world’ in a 60% vs 40% decision over Mexico.

Millions of you voted! Thank you for being a part of the @pubity community and thank you to @gordongram for announcing the winner!

-
#viral #polls #morocco #gordonramsay #youdecide #pubity",0,0,0,0,1,1,1,1,1,1,,,,
https://www.instagram.com/p/DDzIjRevX9o/,https://instagram.fsin15-2.fna.fbcdn.net/v/t51.29350-15/470911759_432974746416045_8049992580544390707_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzUweDE2ODcuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fsin15-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=d4IP4wWFvWoQ7kNvgFvtK_O&_nc_gid=da9ca03f00c4460097df08ccf9b1aa5d&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUyNzIwMDU0MTQ4NDM1MTMzNg%3D%3D.3-ccb7-5&oh=00_AYD3AN93oY8Rtv8a86iYGGa-HwO8vzOSN04qd_vjHYgmEg&oe=676B4086&_nc_sid=8f1549,23837,124,"Trooper, a 3-year-old brindle bull terrier, was rescued by Florida Highway Patrol after being abandoned during Hurricane Milton.

His story went viral, leading Frank and Carla Spina of Parkland, Florida, to adopt him from the Leon County Humane Society in November. 

The Spinas drove seven hours to meet Trooper. Now thriving with his new family and older sibling Dallas, Trooper enjoys a loving forever home.

(📸 by FHP Tampa & Leon County Humane Society)

-

#dog #pets #wholesome #rescue #pubity",0,0,0,0,1,0,0,0,0,0,1,1,1,1
https://www.instagram.com/p/DDzARiDIzFI/,https://instagram.fsin15-2.fna.fbcdn.net/v/t51.2885-15/470916794_18490917967044850_503917029069485483_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MjB4MTI4MC5zZHIuZjc1NzYxLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=instagram.fsin15-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=pi0isSuO044Q7kNvgFGIWpu&_nc_gid=da9ca03f00c4460097df08ccf9b1aa5d&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUyNzE2NDEzNzk1MjE5NDg4OA%3D%3D.3-ccb7-5&oh=00_AYDl0VPGzsDtkrDoJ759g3BhoA4FubFy_22oNF8f-J57KQ&oe=676B1DA3&_nc_sid=8f1549,62383,210,"You gotta see the dive 🤣

(Liv Innocenti via ViralHog)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.instagram.com/p/DDy5Kbmx652/,https://instagram.fsin15-2.fna.fbcdn.net/v/t51.29350-15/470920810_582062621438735_6878387598061966122_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzUweDE2ODguc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fsin15-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=NZ8cl4wu0uMQ7kNvgFCXcRO&_nc_gid=da9ca03f00c4460097df08ccf9b1aa5d&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUyNzEzMjg2MzY3MjA2OTc1MA%3D%3D.3-ccb7-5&oh=00_AYDrOx1HyS86y4dSwRk7F7uVB4RcNaITO7hSJnNhHUnNoQ&oe=676B2FA6&_nc_sid=8f1549,33092,205,"On this day 8 years ago Apple released the first version of the ‘AirPods’ in December of 2016. 🎶🍎

Do y’all think these were a good or bad invention?! 🤔",0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.instagram.com/p/DDytr41RsTM/,https://instagram.fsin15-2.fna.fbcdn.net/v/t51.29350-15/470939520_1602813053671998_565795865382647363_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMjgweDE2MDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fsin15-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=nSK6l4F0gHYQ7kNvgH7BAEg&_nc_gid=da9ca03f00c4460097df08ccf9b1aa5d&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUyNzA4MjM4NjIzODM5MTUwMA%3D%3D.3-ccb7-5&oh=00_AYDIXfTa1yWnHUtg6HsdevEjmQH1m7KU-rC1jYwQ4vqu_w&oe=676B1EDF&_nc_sid=8f1549,154235,290,"Tom Holland has been cooking dinners for Zendaya while she films The Drama in Boston, but his culinary efforts have had mixed results. 👨‍🍳🤷‍♂️

On the Dish podcast, Holland shared that while he enjoys cooking vegetarian meals for Zendaya, a few attempts have led to takeout instead. Despite the occasional mishaps, Holland praised Zendaya’s “spicy vodka fusilli” as one of his favorite dishes.

Zendaya has been in Boston working alongside Robert Pattinson, while Holland has joined her in the city during breaks. The couple was spotted enjoying a night out, where Holland tried a non-alcoholic beer he recently launched. 

The actor also expressed excitement about their upcoming collaboration in a Christopher Nolan film, calling it “the best thing that’s ever happened” to him.",0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.instagram.com/p/DDySsY0pSyT/,https://instagram.fsin15-2.fna.fbcdn.net/v/t51.29350-15/470957051_1484528839601670_5924291136831299376_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=instagram.fsin15-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=gg2c-Dc_4g4Q7kNvgEuULSW&_nc_gid=da9ca03f00c4460097df08ccf9b1aa5d&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUyNjk2MzY2NzQzNDU3NDA3MQ%3D%3D.3-ccb7-5&oh=00_AYBzirqu7unxErxMCxMROWWV_fksd2x03zsK5UTsx3Yexw&oe=676B33EE&_nc_sid=8f1549,102591,355,"Swipe ⬅️ to see this family’s wholesome reaction to their daughter getting into her dream school. ❤️

Via @ohsandralee",0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.instagram.com/p/DDyIoiQphxs/,https://instagram.fsin15-2.fna.fbcdn.net/v/t51.29350-15/470923303_547397998271176_7047534022967377541_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzUweDE2ODguc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fsin15-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=IAlidNknpz0Q7kNvgE0nbmJ&_nc_gid=da9ca03f00c4460097df08ccf9b1aa5d&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUyNjkxOTQyODEyMjIyMTY3Ng%3D%3D.3-ccb7-5&oh=00_AYCrpyPUTKvOw9TSZUT-aXrYGtZz_F3ABmePZbjetKKQzA&oe=676B32F7&_nc_sid=8f1549,42390,400,"Texas authorities have recovered over 34,000 stolen avocados, marking the largest such recovery in Hill County’s history. 🥑🥑🥑

The Laredo Police Department, acting on a tip, located an 18-wheeler suspected of transporting the stolen produce from Mexico. Upon inspection, the truck was found to contain the missing avocados. ￼

The Hill County Sheriff’s Office acknowledged the significance of this operation, noting it as Deputy Hardy’s largest stolen avocado recovery to date. The successful retrieval underscores the ongoing issue of produce theft in the region. ￼

Avocado thefts have been a growing concern, given the fruit’s high market value and demand. This incident highlights the need for continued vigilance and collaboration among law enforcement agencies to combat agricultural crimes.",0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.instagram.com/p/DDx-1F2tzZU/,https://instagram.fsin15-2.fna.fbcdn.net/v/t51.29350-15/470898710_618237787414550_5530723651402880974_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=instagram.fsin15-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=Ul3YTrFe10IQ7kNvgFzdptq&_nc_gid=da9ca03f00c4460097df08ccf9b1aa5d&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUyNjg3NjMwMTAyMjkxMDE1NQ%3D%3D.3-ccb7-5&oh=00_AYCjXvntCdIrsesIPkji0aCE_CjfF43hAqJKAmmrcs6jeg&oe=676B49C3&_nc_sid=8f1549,191870,1144,"Swipe ⬅️ to see the wholesome reunion of a grandpa and his furry best friend Pepper 🐾🐕

Robin Brojanowski via ViralHog",0,0,0,0,0,0,0,0,0,0,0,0,0,0
